"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330082001","Block Group 1, Census Tract 82, King County, Washington","1119","177","null","null","182","125","null","null","41","39","null","null","16","25","null","null","46","46","null","null","0","12","null","null","28","32","null","null","15","23","null","null","14","null","23","null","13","null","22","null","74","88","null","null","30","null","36","null","82","null","63","null","75","null","48","null","110","null","84","null","100","98","null","null","293","null","103","null",
"1500000US530330082002","Block Group 2, Census Tract 82, King County, Washington","821","180","null","null","94","67","null","null","16","24","null","null","16","27","null","null","46","73","null","null","0","12","null","null","14","23","null","null","16","25","null","null","0","null","12","null","0","null","12","null","37","43","null","null","104","null","106","null","129","null","68","null","27","null","34","null","74","null","49","null","61","93","null","null","187","null","118","null",
"1500000US530330082003","Block Group 3, Census Tract 82, King County, Washington","915","170","null","null","76","66","null","null","0","12","null","null","15","26","null","null","55","44","null","null","34","40","null","null","11","18","null","null","91","89","null","null","0","null","12","null","82","null","85","null","29","33","null","null","115","null","64","null","81","null","67","null","94","null","64","null","84","null","54","null","101","63","null","null","47","null","45","null",
"1500000US530330083001","Block Group 1, Census Tract 83, King County, Washington","853","129","null","null","145","85","null","null","38","28","null","null","47","51","null","null","0","12","null","null","34","32","null","null","28","25","null","null","40","33","null","null","10","null","15","null","14","null","23","null","100","69","null","null","69","null","46","null","115","null","70","null","77","null","38","null","63","null","42","null","16","17","null","null","57","null","34","null",
"1500000US530330083002","Block Group 2, Census Tract 83, King County, Washington","1285","154","null","null","45","32","null","null","65","70","null","null","72","75","null","null","79","57","null","null","12","19","null","null","31","47","null","null","23","28","null","null","83","null","60","null","20","null","22","null","102","68","null","null","72","null","43","null","143","null","84","null","140","null","65","null","131","null","105","null","123","62","null","null","144","null","71","null",
"1500000US530330084001","Block Group 1, Census Tract 84, King County, Washington","1232","246","null","null","48","45","null","null","20","34","null","null","12","19","null","null","28","33","null","null","97","80","null","null","106","121","null","null","125","96","null","null","14","null","23","null","112","null","98","null","83","65","null","null","37","null","41","null","114","null","138","null","158","null","110","null","54","null","51","null","111","81","null","null","113","null","70","null",
"1500000US530330084002","Block Group 2, Census Tract 84, King County, Washington","1284","201","null","null","66","50","null","null","26","29","null","null","130","91","null","null","24","29","null","null","28","33","null","null","16","26","null","null","119","134","null","null","60","null","54","null","29","null","33","null","109","85","null","null","145","null","143","null","143","null","90","null","75","null","61","null","134","null","85","null","87","56","null","null","93","null","61","null",
"1500000US530330084003","Block Group 3, Census Tract 84, King County, Washington","829","150","null","null","59","48","null","null","16","25","null","null","27","32","null","null","69","56","null","null","0","12","null","null","56","54","null","null","63","51","null","null","35","null","29","null","43","null","56","null","15","25","null","null","54","null","61","null","161","null","101","null","47","null","49","null","62","null","51","null","81","77","null","null","41","null","40","null",
"1500000US530330085001","Block Group 1, Census Tract 85, King County, Washington","994","106","null","null","58","34","null","null","16","18","null","null","36","40","null","null","33","26","null","null","25","23","null","null","26","24","null","null","37","26","null","null","90","null","81","null","26","null","23","null","136","74","null","null","104","null","58","null","101","null","49","null","75","null","43","null","71","null","40","null","77","37","null","null","83","null","35","null",
"1500000US530330085002","Block Group 2, Census Tract 85, King County, Washington","564","94","null","null","14","16","null","null","59","24","null","null","20","28","null","null","63","53","null","null","31","37","null","null","53","47","null","null","7","11","null","null","8","null","12","null","73","null","59","null","17","19","null","null","74","null","52","null","32","null","40","null","61","null","51","null","8","null","13","null","19","31","null","null","25","null","27","null",
"1500000US530330085003","Block Group 3, Census Tract 85, King County, Washington","307","90","null","null","125","65","null","null","45","29","null","null","15","19","null","null","10","17","null","null","42","42","null","null","0","12","null","null","0","12","null","null","17","null","27","null","0","null","12","null","8","15","null","null","0","null","12","null","11","null","17","null","17","null","18","null","0","null","12","null","17","25","null","null","0","null","12","null",
"1500000US530330086001","Block Group 1, Census Tract 86, King County, Washington","836","149","null","null","153","92","null","null","15","26","null","null","37","44","null","null","63","70","null","null","19","29","null","null","17","29","null","null","55","52","null","null","17","null","27","null","18","null","29","null","43","57","null","null","162","null","126","null","113","null","76","null","35","null","40","null","28","null","35","null","0","12","null","null","61","null","48","null",
"1500000US530330086002","Block Group 2, Census Tract 86, King County, Washington","850","141","null","null","153","82","null","null","74","75","null","null","68","54","null","null","17","28","null","null","15","23","null","null","0","12","null","null","0","12","null","null","56","null","54","null","40","null","65","null","70","53","null","null","124","null","72","null","27","null","30","null","35","null","39","null","74","null","57","null","17","27","null","null","80","null","61","null",
"1500000US530330086003","Block Group 3, Census Tract 86, King County, Washington","622","148","null","null","79","70","null","null","116","60","null","null","53","43","null","null","0","12","null","null","14","22","null","null","15","23","null","null","0","12","null","null","20","null","32","null","0","null","12","null","84","64","null","null","50","null","80","null","74","null","63","null","35","null","41","null","28","null","24","null","0","12","null","null","54","null","44","null",
"1500000US530330087001","Block Group 1, Census Tract 87, King County, Washington","625","101","null","null","27","27","null","null","8","13","null","null","17","20","null","null","44","43","null","null","22","23","null","null","0","12","null","null","0","12","null","null","5","null","8","null","8","null","14","null","86","61","null","null","17","null","19","null","71","null","42","null","54","null","41","null","39","null","28","null","133","64","null","null","94","null","45","null",
"1500000US530330087002","Block Group 2, Census Tract 87, King County, Washington","639","118","null","null","34","43","null","null","57","63","null","null","40","50","null","null","72","48","null","null","32","52","null","null","62","57","null","null","15","23","null","null","17","null","18","null","37","null","57","null","27","24","null","null","7","null","12","null","32","null","30","null","53","null","33","null","102","null","56","null","39","25","null","null","13","null","15","null",
"1500000US530330087003","Block Group 3, Census Tract 87, King County, Washington","587","92","null","null","13","19","null","null","24","22","null","null","11","18","null","null","9","14","null","null","20","21","null","null","0","12","null","null","0","12","null","null","14","null","11","null","7","null","10","null","60","41","null","null","91","null","56","null","49","null","34","null","72","null","42","null","45","null","43","null","65","44","null","null","107","null","48","null",
"1500000US530330088001","Block Group 1, Census Tract 88, King County, Washington","611","73","null","null","9","13","null","null","11","14","null","null","11","17","null","null","27","43","null","null","0","12","null","null","33","43","null","null","0","12","null","null","21","null","30","null","0","null","12","null","9","15","null","null","59","null","40","null","92","null","44","null","40","null","35","null","54","null","41","null","50","41","null","null","195","null","60","null",
