"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330309012","Block Group 2, Census Tract 309.01, King County, Washington","513","82","null","null","7","null","10","null","31","null","27","null","21","23","null","null","73","54","null","null","21","30","null","null","12","null","13","null","38","null","52","null","38","30","null","null","3","5","null","null","45","null","29","null","45","null","32","null","40","null","22","null","65","52","null","null","31","23","null","null","43","null","29","null","0","null","12","null",
"1500000US530330309021","Block Group 1, Census Tract 309.02, King County, Washington","861","154","null","null","51","null","42","null","0","null","12","null","51","58","null","null","0","12","null","null","64","75","null","null","42","null","53","null","44","null","42","null","54","52","null","null","60","47","null","null","99","null","76","null","123","null","80","null","117","null","74","null","109","63","null","null","30","42","null","null","0","null","12","null","17","null","20","null",
"1500000US530330309022","Block Group 2, Census Tract 309.02, King County, Washington","567","118","null","null","7","null","13","null","0","null","12","null","0","12","null","null","0","12","null","null","6","11","null","null","93","null","92","null","14","null","21","null","106","81","null","null","0","12","null","null","37","null","36","null","82","null","63","null","53","null","36","null","119","79","null","null","50","42","null","null","0","null","12","null","0","null","12","null",
"1500000US530330309023","Block Group 3, Census Tract 309.02, King County, Washington","703","133","null","null","28","null","32","null","15","null","22","null","21","35","null","null","21","25","null","null","51","60","null","null","32","null","39","null","79","null","70","null","6","10","null","null","82","92","null","null","147","null","84","null","82","null","67","null","47","null","40","null","39","30","null","null","13","21","null","null","3","null","8","null","37","null","38","null",
"1500000US530330310001","Block Group 1, Census Tract 310, King County, Washington","901","79","null","null","0","null","12","null","15","null","16","null","8","13","null","null","15","23","null","null","7","12","null","null","17","null","22","null","9","null","13","null","3","4","null","null","6","10","null","null","37","null","40","null","130","null","72","null","152","null","86","null","163","74","null","null","84","45","null","null","126","null","51","null","129","null","64","null",
"1500000US530330310002","Block Group 2, Census Tract 310, King County, Washington","544","82","null","null","0","null","12","null","0","null","12","null","8","13","null","null","33","20","null","null","19","21","null","null","17","null","20","null","34","null","52","null","0","12","null","null","7","12","null","null","44","null","55","null","46","null","34","null","101","null","57","null","27","27","null","null","98","42","null","null","44","null","43","null","66","null","42","null",
"1500000US530330311001","Block Group 1, Census Tract 311, King County, Washington","471","117","null","null","0","null","12","null","17","null","25","null","0","12","null","null","58","48","null","null","0","12","null","null","17","null","23","null","57","null","81","null","18","25","null","null","0","12","null","null","83","null","76","null","81","null","77","null","91","null","78","null","30","31","null","null","0","12","null","null","19","null","26","null","0","null","12","null",
"1500000US530330311002","Block Group 2, Census Tract 311, King County, Washington","620","110","null","null","12","null","9","null","21","null","12","null","26","14","null","null","39","15","null","null","11","8","null","null","9","null","7","null","21","null","20","null","27","24","null","null","5","5","null","null","53","null","35","null","85","null","75","null","46","null","39","null","59","47","null","null","89","77","null","null","95","null","69","null","22","null","24","null",
"1500000US530330311003","Block Group 3, Census Tract 311, King County, Washington","746","86","null","null","48","null","24","null","25","null","14","null","17","11","null","null","20","11","null","null","22","12","null","null","54","null","32","null","44","null","23","null","49","31","null","null","38","16","null","null","75","null","39","null","83","null","31","null","160","null","73","null","43","16","null","null","24","11","null","null","36","null","16","null","8","null","8","null",
"1500000US530330311004","Block Group 4, Census Tract 311, King County, Washington","451","113","null","null","69","null","82","null","48","null","41","null","5","6","null","null","12","9","null","null","88","85","null","null","23","null","27","null","49","null","58","null","0","12","null","null","1","5","null","null","17","null","11","null","39","null","27","null","50","null","36","null","24","13","null","null","16","10","null","null","5","null","6","null","5","null","5","null",
