"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","608","101","null","null","78","null","88","null","0","null","12","null","0","12","null","null","15","24","null","null","15","23","null","null","0","null","12","null","15","null","25","null","0","12","null","null","0","12","null","null","10","null","16","null","30","null","34","null","93","null","83","null","63","50","null","null","13","21","null","null","93","null","62","null","183","null","70","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","758","151","null","null","67","null","55","null","75","null","54","null","19","30","null","null","18","29","null","null","19","30","null","null","14","null","22","null","79","null","91","null","63","74","null","null","51","49","null","null","97","null","79","null","39","null","36","null","100","null","67","null","67","68","null","null","28","24","null","null","6","null","13","null","16","null","26","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","724","121","null","null","98","null","59","null","67","null","47","null","62","72","null","null","41","68","null","null","11","19","null","null","0","null","12","null","0","null","12","null","0","12","null","null","30","32","null","null","36","null","38","null","79","null","44","null","94","null","81","null","84","58","null","null","17","28","null","null","69","null","56","null","36","null","40","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1052","147","null","null","148","null","94","null","45","null","41","null","106","93","null","null","130","98","null","null","54","61","null","null","34","null","39","null","140","null","113","null","10","16","null","null","12","21","null","null","122","null","91","null","41","null","39","null","117","null","67","null","78","86","null","null","15","25","null","null","0","null","12","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","637","116","null","null","37","null","28","null","43","null","42","null","43","40","null","null","75","69","null","null","80","80","null","null","27","null","29","null","27","null","31","null","27","29","null","null","13","21","null","null","57","null","40","null","58","null","74","null","57","null","71","null","14","21","null","null","18","29","null","null","46","null","42","null","15","null","25","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","545","119","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","11","null","17","null","16","25","null","null","29","35","null","null","94","null","85","null","62","null","42","null","125","null","60","null","132","100","null","null","29","34","null","null","47","null","39","null","0","null","12","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","444","88","null","null","41","null","44","null","28","null","32","null","17","26","null","null","0","12","null","null","0","12","null","null","17","null","28","null","0","null","12","null","25","38","null","null","17","28","null","null","81","null","59","null","99","null","56","null","33","null","37","null","71","52","null","null","15","26","null","null","0","null","12","null","0","null","12","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","860","126","null","null","67","null","57","null","17","null","27","null","19","29","null","null","39","46","null","null","115","78","null","null","0","null","12","null","58","null","44","null","78","60","null","null","46","67","null","null","188","null","102","null","56","null","53","null","44","null","48","null","27","30","null","null","73","52","null","null","12","null","17","null","21","null","34","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","558","114","null","null","18","null","31","null","0","null","12","null","44","42","null","null","57","44","null","null","16","25","null","null","0","null","12","null","16","null","25","null","0","12","null","null","17","26","null","null","114","null","93","null","72","null","57","null","90","null","59","null","34","38","null","null","24","27","null","null","43","null","42","null","13","null","21","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","723","124","null","null","36","null","41","null","48","null","45","null","13","22","null","null","77","65","null","null","16","24","null","null","47","null","43","null","47","null","38","null","0","12","null","null","0","12","null","null","16","null","25","null","84","null","58","null","102","null","86","null","108","86","null","null","26","30","null","null","72","null","59","null","31","null","38","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","524","81","null","null","17","null","30","null","0","null","12","null","13","20","null","null","0","12","null","null","12","18","null","null","0","null","12","null","31","null","36","null","0","12","null","null","0","12","null","null","20","null","31","null","68","null","46","null","85","null","58","null","76","63","null","null","47","46","null","null","62","null","53","null","93","null","62","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","487","65","null","null","0","null","12","null","35","null","52","null","0","12","null","null","0","12","null","null","25","31","null","null","12","null","16","null","11","null","16","null","21","24","null","null","19","23","null","null","41","null","36","null","18","null","22","null","80","null","47","null","49","32","null","null","51","35","null","null","61","null","50","null","64","null","36","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","700","69","null","null","49","null","39","null","66","null","61","null","26","29","null","null","25","28","null","null","30","37","null","null","24","null","37","null","0","null","12","null","13","20","null","null","49","58","null","null","53","null","42","null","94","null","53","null","60","null","36","null","78","58","null","null","50","33","null","null","34","null","27","null","49","null","40","null",
"1500000US530330004011","Block Group 1, Census Tract 4.01, King County, Washington","2060","227","null","null","296","null","145","null","165","null","110","null","57","56","null","null","208","105","null","null","206","124","null","null","414","null","201","null","80","null","58","null","133","98","null","null","25","30","null","null","67","null","55","null","149","null","87","null","63","null","53","null","72","60","null","null","40","50","null","null","38","null","54","null","47","null","42","null",
"1500000US530330004012","Block Group 2, Census Tract 4.01, King County, Washington","747","168","null","null","31","null","37","null","0","null","12","null","17","27","null","null","0","12","null","null","86","78","null","null","34","null","38","null","15","null","23","null","65","102","null","null","16","26","null","null","90","null","74","null","35","null","41","null","171","null","121","null","62","51","null","null","11","19","null","null","66","null","55","null","48","null","46","null",
"1500000US530330004013","Block Group 3, Census Tract 4.01, King County, Washington","953","148","null","null","112","null","66","null","220","null","84","null","15","24","null","null","44","41","null","null","167","119","null","null","58","null","68","null","70","null","68","null","17","28","null","null","42","38","null","null","0","null","12","null","38","null","47","null","35","null","39","null","83","62","null","null","28","35","null","null","13","null","21","null","11","null","21","null",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","587","115","null","null","12","null","19","null","11","null","18","null","94","86","null","null","52","51","null","null","34","56","null","null","14","null","23","null","15","null","25","null","39","36","null","null","28","33","null","null","29","null","34","null","78","null","54","null","97","null","83","null","15","24","null","null","0","12","null","null","69","null","53","null","0","null","12","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","411","90","null","null","0","null","12","null","0","null","12","null","0","12","null","null","34","37","null","null","0","12","null","null","55","null","63","null","11","null","19","null","0","12","null","null","0","12","null","null","50","null","62","null","65","null","74","null","54","null","50","null","63","56","null","null","0","12","null","null","11","null","18","null","68","null","47","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","642","110","null","null","41","null","65","null","20","null","31","null","0","12","null","null","76","76","null","null","25","38","null","null","65","null","51","null","25","null","41","null","48","55","null","null","0","12","null","null","55","null","44","null","36","null","39","null","121","null","65","null","73","59","null","null","0","12","null","null","20","null","30","null","37","null","44","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","797","128","null","null","0","null","12","null","0","null","12","null","73","64","null","null","0","12","null","null","15","27","null","null","15","null","24","null","44","null","40","null","125","79","null","null","0","12","null","null","69","null","39","null","0","null","12","null","99","null","63","null","63","53","null","null","26","35","null","null","83","null","56","null","185","null","88","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","462","56","null","null","8","null","13","null","7","null","11","null","9","15","null","null","8","12","null","null","0","12","null","null","0","null","12","null","9","null","14","null","0","12","null","null","9","14","null","null","8","null","13","null","16","null","18","null","40","null","29","null","76","40","null","null","35","29","null","null","63","null","37","null","174","null","58","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","338","50","null","null","15","null","17","null","17","null","20","null","0","12","null","null","8","13","null","null","26","23","null","null","0","null","12","null","9","null","14","null","21","22","null","null","10","16","null","null","0","null","12","null","26","null","20","null","10","null","16","null","10","16","null","null","44","32","null","null","70","null","37","null","72","null","39","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","451","58","null","null","9","null","15","null","8","null","14","null","9","14","null","null","18","20","null","null","13","17","null","null","35","null","31","null","11","null","16","null","10","16","null","null","0","12","null","null","20","null","21","null","22","null","23","null","44","null","43","null","34","28","null","null","43","28","null","null","61","null","33","null","114","null","47","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","471","83","null","null","15","null","25","null","0","null","12","null","0","12","null","null","0","12","null","null","16","26","null","null","16","null","25","null","0","null","12","null","0","12","null","null","20","33","null","null","83","null","47","null","52","null","44","null","88","null","49","null","53","50","null","null","50","50","null","null","30","null","34","null","48","null","40","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","619","123","null","null","0","null","12","null","18","null","29","null","15","25","null","null","111","112","null","null","63","66","null","null","32","null","39","null","12","null","18","null","94","76","null","null","0","12","null","null","20","null","31","null","47","null","43","null","57","null","47","null","68","54","null","null","52","47","null","null","30","null","34","null","0","null","12","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","701","145","null","null","30","null","35","null","15","null","25","null","0","12","null","null","0","12","null","null","67","76","null","null","0","null","12","null","16","null","25","null","100","77","null","null","33","30","null","null","64","null","52","null","65","null","45","null","139","null","113","null","103","84","null","null","13","22","null","null","37","null","42","null","19","null","31","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","743","123","null","null","13","null","20","null","29","null","32","null","78","69","null","null","17","29","null","null","14","22","null","null","0","null","12","null","42","null","49","null","64","74","null","null","18","28","null","null","98","null","70","null","80","null","55","null","75","null","77","null","60","53","null","null","66","49","null","null","89","null","60","null","0","null","12","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","355","94","null","null","13","null","22","null","0","null","12","null","56","67","null","null","0","12","null","null","0","12","null","null","16","null","25","null","0","null","12","null","56","28","null","null","0","12","null","null","31","null","36","null","25","null","28","null","57","null","46","null","14","22","null","null","0","12","null","null","68","null","73","null","19","null","29","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","524","122","null","null","65","null","53","null","62","null","79","null","0","12","null","null","16","28","null","null","16","26","null","null","0","null","12","null","0","null","12","null","14","23","null","null","29","36","null","null","47","null","43","null","30","null","33","null","41","null","38","null","36","39","null","null","36","42","null","null","100","null","95","null","32","null","38","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","937","149","null","null","99","null","68","null","41","null","43","null","103","73","null","null","48","63","null","null","22","27","null","null","43","null","43","null","26","null","41","null","105","72","null","null","36","41","null","null","157","null","90","null","36","null","38","null","153","null","99","null","39","46","null","null","0","12","null","null","29","null","33","null","0","null","12","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","530","118","null","null","20","null","30","null","0","null","12","null","29","34","null","null","18","30","null","null","35","41","null","null","37","null","42","null","50","null","46","null","52","58","null","null","50","46","null","null","24","null","37","null","13","null","21","null","88","null","95","null","65","53","null","null","28","31","null","null","0","null","12","null","21","null","31","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","452","107","null","null","63","null","46","null","0","null","12","null","0","12","null","null","14","21","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","14","22","null","null","87","null","85","null","26","null","31","null","55","null","51","null","86","75","null","null","17","29","null","null","26","null","32","null","64","null","39","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","303","82","null","null","0","null","12","null","35","null","41","null","0","12","null","null","16","28","null","null","0","12","null","null","0","null","12","null","14","null","23","null","43","67","null","null","20","32","null","null","19","null","31","null","20","null","30","null","32","null","34","null","44","34","null","null","0","12","null","null","34","null","41","null","26","null","32","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","508","51","null","null","22","null","25","null","7","null","10","null","21","23","null","null","0","12","null","null","0","12","null","null","6","null","11","null","23","null","21","null","0","12","null","null","17","20","null","null","8","null","13","null","119","null","63","null","86","null","45","null","65","37","null","null","46","28","null","null","13","null","15","null","75","null","35","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","559","68","null","null","32","null","31","null","11","null","17","null","32","45","null","null","8","14","null","null","12","17","null","null","14","null","23","null","10","null","16","null","15","12","null","null","6","10","null","null","0","null","12","null","28","null","26","null","78","null","45","null","50","31","null","null","58","38","null","null","91","null","48","null","114","null","46","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","437","42","null","null","7","null","11","null","0","null","12","null","15","16","null","null","6","9","null","null","0","12","null","null","0","null","12","null","7","null","11","null","9","13","null","null","13","10","null","null","19","null","17","null","12","null","13","null","56","null","22","null","47","27","null","null","43","26","null","null","48","null","27","null","155","null","33","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","431","53","null","null","18","null","18","null","7","null","10","null","0","12","null","null","0","12","null","null","0","12","null","null","43","null","25","null","43","null","28","null","8","12","null","null","0","12","null","null","1","null","4","null","20","null","17","null","41","null","27","null","32","32","null","null","37","25","null","null","51","null","22","null","130","null","41","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","353","54","null","null","31","null","26","null","5","null","8","null","6","9","null","null","28","28","null","null","44","36","null","null","10","null","10","null","0","null","12","null","12","12","null","null","0","12","null","null","30","null","19","null","32","null","20","null","26","null","16","null","36","20","null","null","29","19","null","null","40","null","27","null","24","null","19","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","412","50","null","null","5","null","8","null","6","null","8","null","23","17","null","null","8","11","null","null","16","24","null","null","12","null","13","null","0","null","12","null","0","12","null","null","6","10","null","null","17","null","15","null","25","null","20","null","38","null","20","null","73","36","null","null","45","23","null","null","73","null","30","null","65","null","36","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","502","73","null","null","8","null","13","null","8","null","13","null","0","12","null","null","9","14","null","null","8","13","null","null","17","null","19","null","11","null","16","null","17","19","null","null","33","39","null","null","75","null","61","null","78","null","46","null","74","null","41","null","43","31","null","null","51","27","null","null","55","null","32","null","15","null","23","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","590","55","null","null","19","null","22","null","34","null","26","null","6","10","null","null","8","13","null","null","0","12","null","null","20","null","21","null","25","null","38","null","28","28","null","null","26","21","null","null","25","null","38","null","65","null","39","null","45","null","33","null","87","42","null","null","28","24","null","null","107","null","64","null","67","null","42","null",
"1500000US530330012001","Block Group 1, Census Tract 12, King County, Washington","491","84","null","null","0","null","12","null","29","null","34","null","12","22","null","null","0","12","null","null","0","12","null","null","17","null","28","null","0","null","12","null","14","24","null","null","33","38","null","null","34","null","40","null","0","null","12","null","28","null","31","null","130","60","null","null","66","47","null","null","48","null","48","null","80","null","61","null",
"1500000US530330012002","Block Group 2, Census Tract 12, King County, Washington","444","142","null","null","0","null","12","null","58","null","90","null","57","92","null","null","15","25","null","null","30","24","null","null","19","null","30","null","0","null","12","null","0","12","null","null","0","12","null","null","93","null","92","null","23","null","36","null","53","null","48","null","29","36","null","null","10","18","null","null","34","null","39","null","23","null","27","null",
"1500000US530330012003","Block Group 3, Census Tract 12, King County, Washington","1153","183","null","null","99","null","81","null","191","null","115","null","114","81","null","null","207","113","null","null","0","12","null","null","17","null","26","null","36","null","41","null","0","12","null","null","39","59","null","null","84","null","59","null","35","null","40","null","175","null","80","null","97","85","null","null","29","33","null","null","30","null","47","null","0","null","12","null",
"1500000US530330012004","Block Group 4, Census Tract 12, King County, Washington","744","147","null","null","83","null","89","null","14","null","24","null","0","12","null","null","58","55","null","null","82","87","null","null","23","null","27","null","60","null","56","null","65","62","null","null","58","51","null","null","42","null","39","null","89","null","77","null","38","null","36","null","20","31","null","null","16","27","null","null","96","null","98","null","0","null","12","null",
"1500000US530330012005","Block Group 5, Census Tract 12, King County, Washington","949","181","null","null","253","null","152","null","123","null","125","null","12","20","null","null","73","94","null","null","0","12","null","null","0","null","12","null","45","null","44","null","34","39","null","null","78","60","null","null","121","null","68","null","49","null","46","null","97","null","71","null","49","45","null","null","0","12","null","null","15","null","24","null","0","null","12","null",
"1500000US530330013001","Block Group 1, Census Tract 13, King County, Washington","882","116","null","null","100","null","77","null","67","null","79","null","0","12","null","null","23","34","null","null","60","47","null","null","42","null","39","null","16","null","26","null","13","20","null","null","48","43","null","null","54","null","47","null","10","null","16","null","145","null","75","null","46","36","null","null","47","42","null","null","31","null","26","null","180","null","99","null",
"1500000US530330013002","Block Group 2, Census Tract 13, King County, Washington","692","130","null","null","36","null","35","null","27","null","32","null","32","50","null","null","16","26","null","null","15","23","null","null","37","null","31","null","0","null","12","null","33","55","null","null","25","29","null","null","65","null","53","null","100","null","74","null","98","null","62","null","18","24","null","null","86","90","null","null","67","null","66","null","37","null","32","null",
"1500000US530330013003","Block Group 3, Census Tract 13, King County, Washington","689","112","null","null","11","null","17","null","51","null","48","null","30","32","null","null","56","74","null","null","0","12","null","null","29","null","33","null","0","null","12","null","32","38","null","null","49","38","null","null","41","null","36","null","62","null","60","null","60","null","61","null","111","67","null","null","23","23","null","null","53","null","46","null","81","null","55","null",
"1500000US530330014001","Block Group 1, Census Tract 14, King County, Washington","549","97","null","null","104","null","98","null","34","null","41","null","15","25","null","null","50","47","null","null","0","12","null","null","0","null","12","null","15","null","24","null","33","37","null","null","0","12","null","null","18","null","28","null","107","null","73","null","80","null","42","null","32","35","null","null","15","24","null","null","16","null","25","null","30","null","25","null",
"1500000US530330014002","Block Group 2, Census Tract 14, King County, Washington","539","101","null","null","30","null","33","null","19","null","31","null","32","35","null","null","0","12","null","null","36","38","null","null","46","null","41","null","12","null","18","null","0","12","null","null","19","29","null","null","30","null","37","null","40","null","38","null","47","null","43","null","47","43","null","null","58","37","null","null","60","null","50","null","63","null","69","null",
"1500000US530330014003","Block Group 3, Census Tract 14, King County, Washington","564","96","null","null","0","null","12","null","0","null","12","null","18","29","null","null","36","44","null","null","0","12","null","null","20","null","33","null","16","null","25","null","17","26","null","null","30","34","null","null","106","null","93","null","82","null","59","null","75","null","56","null","31","35","null","null","58","43","null","null","30","null","34","null","45","null","45","null",
"1500000US530330014004","Block Group 4, Census Tract 14, King County, Washington","681","93","null","null","15","null","25","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","58","null","88","null","0","null","12","null","50","37","null","null","0","12","null","null","103","null","92","null","36","null","40","null","45","null","42","null","0","12","null","null","117","61","null","null","75","null","54","null","182","null","80","null",
"1500000US530330015001","Block Group 1, Census Tract 15, King County, Washington","522","54","null","null","0","null","12","null","0","null","12","null","9","14","null","null","0","12","null","null","7","12","null","null","19","null","22","null","23","null","35","null","9","14","null","null","17","19","null","null","50","null","33","null","27","null","28","null","94","null","42","null","56","37","null","null","66","38","null","null","42","null","31","null","103","null","46","null",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","596","55","null","null","36","null","30","null","18","null","20","null","8","12","null","null","12","18","null","null","11","16","null","null","9","null","15","null","0","null","12","null","0","12","null","null","8","12","null","null","18","null","20","null","88","null","47","null","125","null","60","null","71","38","null","null","6","11","null","null","54","null","31","null","132","null","44","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","650","80","null","null","16","null","18","null","32","null","41","null","0","12","null","null","17","19","null","null","0","12","null","null","8","null","13","null","0","null","12","null","9","14","null","null","0","12","null","null","8","null","12","null","34","null","22","null","30","null","21","null","109","84","null","null","37","28","null","null","70","null","36","null","280","null","71","null",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","515","61","null","null","0","null","12","null","0","null","12","null","18","19","null","null","22","33","null","null","26","25","null","null","7","null","11","null","13","null","16","null","0","12","null","null","6","11","null","null","23","null","20","null","35","null","22","null","61","null","34","null","39","28","null","null","27","42","null","null","99","null","47","null","139","null","44","null",
"1500000US530330016003","Block Group 3, Census Tract 16, King County, Washington","693","96","null","null","27","null","25","null","13","null","20","null","49","52","null","null","8","12","null","null","8","14","null","null","40","null","47","null","24","null","20","null","9","14","null","null","16","18","null","null","111","null","62","null","61","null","47","null","70","null","40","null","60","31","null","null","56","44","null","null","48","null","35","null","93","null","42","null",
"1500000US530330017011","Block Group 1, Census Tract 17.01, King County, Washington","921","134","null","null","153","null","96","null","27","null","24","null","42","38","null","null","12","18","null","null","8","13","null","null","27","null","29","null","26","null","28","null","57","54","null","null","53","41","null","null","61","null","37","null","120","null","57","null","70","null","50","null","68","47","null","null","116","62","null","null","36","null","31","null","45","null","34","null",
"1500000US530330017012","Block Group 2, Census Tract 17.01, King County, Washington","558","100","null","null","47","null","37","null","32","null","51","null","0","12","null","null","12","18","null","null","11","17","null","null","12","null","19","null","53","null","41","null","9","14","null","null","22","24","null","null","11","null","18","null","74","null","52","null","76","null","47","null","59","47","null","null","72","56","null","null","34","null","29","null","34","null","33","null",
"1500000US530330017013","Block Group 3, Census Tract 17.01, King County, Washington","521","105","null","null","9","null","14","null","0","null","12","null","12","19","null","null","0","12","null","null","13","20","null","null","17","null","27","null","12","null","18","null","23","26","null","null","64","60","null","null","0","null","12","null","69","null","52","null","66","null","42","null","85","51","null","null","53","38","null","null","51","null","43","null","47","null","58","null",
"1500000US530330017021","Block Group 1, Census Tract 17.02, King County, Washington","1043","146","null","null","74","null","73","null","37","null","35","null","84","57","null","null","35","31","null","null","12","20","null","null","54","null","61","null","65","null","71","null","55","48","null","null","37","36","null","null","51","null","42","null","181","null","105","null","117","null","61","null","123","106","null","null","37","35","null","null","66","null","57","null","15","null","22","null",
"1500000US530330017022","Block Group 2, Census Tract 17.02, King County, Washington","546","98","null","null","36","null","42","null","66","null","72","null","0","12","null","null","9","17","null","null","0","12","null","null","13","null","20","null","48","null","55","null","0","12","null","null","10","15","null","null","72","null","71","null","26","null","30","null","86","null","59","null","12","19","null","null","43","45","null","null","90","null","60","null","35","null","36","null",
"1500000US530330017023","Block Group 3, Census Tract 17.02, King County, Washington","404","82","null","null","0","null","12","null","31","null","36","null","15","25","null","null","18","30","null","null","0","12","null","null","0","null","12","null","0","null","12","null","26","29","null","null","14","23","null","null","16","null","24","null","75","null","48","null","24","null","37","null","50","49","null","null","69","68","null","null","34","null","34","null","32","null","37","null",
"1500000US530330017024","Block Group 4, Census Tract 17.02, King County, Washington","281","65","null","null","12","null","20","null","12","null","19","null","10","17","null","null","0","12","null","null","0","12","null","null","8","null","14","null","0","null","12","null","0","12","null","null","13","23","null","null","0","null","12","null","50","null","38","null","67","null","41","null","19","30","null","null","56","46","null","null","0","null","12","null","34","null","40","null",
"1500000US530330018001","Block Group 1, Census Tract 18, King County, Washington","652","104","null","null","54","null","56","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","16","null","22","null","0","null","12","null","0","12","null","null","9","14","null","null","0","null","12","null","74","null","64","null","66","null","47","null","145","80","null","null","93","86","null","null","157","null","96","null","38","null","43","null",
"1500000US530330018002","Block Group 2, Census Tract 18, King County, Washington","695","137","null","null","13","null","25","null","38","null","37","null","67","83","null","null","12","19","null","null","0","12","null","null","27","null","41","null","0","null","12","null","0","12","null","null","52","50","null","null","52","null","42","null","30","null","33","null","83","null","56","null","95","69","null","null","119","88","null","null","64","null","47","null","43","null","43","null",
"1500000US530330018003","Block Group 3, Census Tract 18, King County, Washington","942","143","null","null","50","null","46","null","0","null","12","null","17","27","null","null","0","12","null","null","16","25","null","null","96","null","78","null","17","null","28","null","0","12","null","null","31","34","null","null","96","null","89","null","119","null","69","null","186","null","120","null","182","128","null","null","75","56","null","null","42","null","43","null","15","null","25","null",
"1500000US530330019001","Block Group 1, Census Tract 19, King County, Washington","1170","89","null","null","159","null","81","null","10","null","15","null","55","35","null","null","39","48","null","null","7","10","null","null","38","null","29","null","23","null","26","null","38","30","null","null","89","62","null","null","95","null","44","null","156","null","86","null","170","null","65","null","90","51","null","null","110","49","null","null","72","null","42","null","19","null","22","null",
"1500000US530330019002","Block Group 2, Census Tract 19, King County, Washington","606","73","null","null","10","null","15","null","15","null","17","null","15","16","null","null","13","17","null","null","0","12","null","null","9","null","13","null","10","null","16","null","22","25","null","null","16","17","null","null","34","null","28","null","68","null","37","null","117","null","65","null","38","31","null","null","14","16","null","null","114","null","49","null","111","null","48","null",
