"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330121002","Block Group 2, Census Tract 121, King County, Washington","740","63","null","null","0","12","null","null","0","null","12","null","9","15","null","null","0","null","12","null","25","null","24","null","0","12","null","null","0","12","null","null","47","30","null","null","25","null","22","null","76","null","55","null","104","52","null","null","111","56","null","null","24","26","null","null","90","null","46","null","152","null","64","null","77","null","43","null",
"1500000US530330201001","Block Group 1, Census Tract 201, King County, Washington","488","52","null","null","16","18","null","null","8","null","13","null","40","39","null","null","25","null","22","null","17","null","13","null","15","18","null","null","19","20","null","null","0","12","null","null","0","null","12","null","39","null","32","null","59","34","null","null","54","35","null","null","69","37","null","null","31","null","25","null","57","null","30","null","39","null","24","null",
"1500000US530330201002","Block Group 2, Census Tract 201, King County, Washington","367","47","null","null","23","22","null","null","0","null","12","null","0","12","null","null","8","null","13","null","7","null","12","null","8","13","null","null","7","10","null","null","10","15","null","null","9","null","13","null","21","null","33","null","17","19","null","null","89","45","null","null","55","46","null","null","0","null","12","null","28","null","22","null","85","null","39","null",
"1500000US530330201003","Block Group 3, Census Tract 201, King County, Washington","407","45","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","11","null","18","null","9","15","null","null","0","12","null","null","24","22","null","null","0","null","12","null","10","null","15","null","37","40","null","null","16","17","null","null","76","49","null","null","35","null","26","null","102","null","44","null","87","null","38","null",
"1500000US530330202001","Block Group 1, Census Tract 202, King County, Washington","384","86","null","null","12","19","null","null","0","null","12","null","34","39","null","null","0","null","12","null","13","null","21","null","0","12","null","null","15","24","null","null","0","12","null","null","0","null","12","null","29","null","34","null","26","34","null","null","77","62","null","null","18","28","null","null","67","null","59","null","53","null","46","null","40","null","42","null",
"1500000US530330202002","Block Group 2, Census Tract 202, King County, Washington","527","97","null","null","12","20","null","null","11","null","18","null","0","12","null","null","38","null","35","null","11","null","17","null","92","95","null","null","9","15","null","null","81","58","null","null","0","null","12","null","83","null","55","null","25","31","null","null","19","22","null","null","36","40","null","null","22","null","33","null","88","null","53","null","0","null","12","null",
"1500000US530330202003","Block Group 3, Census Tract 202, King County, Washington","347","71","null","null","20","30","null","null","25","null","28","null","19","30","null","null","0","null","12","null","57","null","52","null","51","59","null","null","0","12","null","null","11","19","null","null","0","null","12","null","12","null","20","null","31","34","null","null","60","41","null","null","32","35","null","null","29","null","34","null","0","null","12","null","0","null","12","null",
"1500000US530330202004","Block Group 4, Census Tract 202, King County, Washington","421","88","null","null","42","68","null","null","11","null","18","null","0","12","null","null","0","null","12","null","0","null","12","null","30","35","null","null","0","12","null","null","0","12","null","null","18","null","29","null","13","null","21","null","31","35","null","null","126","71","null","null","63","45","null","null","24","null","37","null","0","null","12","null","63","null","51","null",
"1500000US530330202005","Block Group 5, Census Tract 202, King County, Washington","443","91","null","null","0","12","null","null","0","null","12","null","0","12","null","null","11","null","17","null","0","null","12","null","0","12","null","null","23","25","null","null","0","12","null","null","8","null","15","null","34","null","43","null","90","80","null","null","67","50","null","null","20","23","null","null","26","null","30","null","59","null","44","null","105","null","77","null",
"1500000US530330203001","Block Group 1, Census Tract 203, King County, Washington","705","139","null","null","28","34","null","null","0","null","12","null","11","17","null","null","35","null","39","null","32","null","38","null","39","35","null","null","23","38","null","null","0","12","null","null","45","null","44","null","56","null","68","null","223","129","null","null","126","74","null","null","71","50","null","null","16","null","26","null","0","null","12","null","0","null","12","null",
