"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","546","null","60","null","56","null","42","null","21","null","22","null","7","null","12","null","11","null","17","null","0","null","12","null","0","12","null","null","0","null","12","null","10","16","null","null","0","null","12","null","9","null","15","null","65","null","54","null","61","null","41","null","31","null","25","null","24","null","23","null","75","null","39","null","176","54","null","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","631","null","90","null","7","null","10","null","7","null","11","null","0","null","12","null","22","null","23","null","0","null","12","null","40","54","null","null","0","null","12","null","17","18","null","null","0","null","12","null","10","null","15","null","21","null","20","null","19","null","20","null","54","null","65","null","38","null","31","null","83","null","40","null","313","77","null","null",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","535","null","65","null","10","null","15","null","0","null","12","null","9","null","15","null","27","null","44","null","7","null","11","null","0","12","null","null","17","null","26","null","0","12","null","null","0","null","12","null","21","null","20","null","31","null","25","null","65","null","39","null","62","null","37","null","13","null","20","null","68","null","42","null","205","65","null","null",
"1500000US530330016003","Block Group 3, Census Tract 16, King County, Washington","732","null","99","null","33","null","32","null","12","null","19","null","23","null","25","null","10","null","16","null","23","null","25","null","42","52","null","null","20","null","21","null","11","17","null","null","0","null","12","null","34","null","29","null","89","null","51","null","42","null","32","null","91","null","44","null","66","null","55","null","55","null","40","null","181","59","null","null",
"1500000US530330017011","Block Group 1, Census Tract 17.01, King County, Washington","1066","null","134","null","132","null","97","null","24","null","39","null","21","null","34","null","56","null","70","null","40","null","45","null","52","42","null","null","0","null","12","null","56","52","null","null","31","null","32","null","34","null","37","null","151","null","104","null","167","null","98","null","84","null","53","null","121","null","74","null","81","null","62","null","16","25","null","null",
"1500000US530330017012","Block Group 2, Census Tract 17.01, King County, Washington","636","null","115","null","32","null","32","null","39","null","63","null","45","null","49","null","0","null","12","null","0","null","12","null","11","18","null","null","12","null","19","null","18","28","null","null","11","null","18","null","46","null","42","null","87","null","61","null","122","null","71","null","66","null","57","null","78","null","57","null","61","null","57","null","8","13","null","null",
"1500000US530330017013","Block Group 3, Census Tract 17.01, King County, Washington","453","null","100","null","11","null","19","null","0","null","12","null","14","null","23","null","13","null","22","null","0","null","12","null","0","12","null","null","0","null","12","null","21","23","null","null","21","null","24","null","12","null","19","null","82","null","61","null","94","null","71","null","79","null","60","null","22","null","22","null","36","null","33","null","48","64","null","null",
"1500000US530330017021","Block Group 1, Census Tract 17.02, King County, Washington","999","null","174","null","68","null","65","null","15","null","24","null","48","null","42","null","40","null","34","null","14","null","22","null","0","12","null","null","0","null","12","null","31","37","null","null","34","null","39","null","0","null","12","null","242","null","123","null","103","null","64","null","178","null","156","null","82","null","65","null","92","null","70","null","52","65","null","null",
"1500000US530330017022","Block Group 2, Census Tract 17.02, King County, Washington","527","null","112","null","38","null","46","null","63","null","64","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","33","null","52","null","12","21","null","null","0","null","12","null","0","null","12","null","32","null","37","null","54","null","54","null","68","null","64","null","43","null","50","null","95","null","68","null","89","59","null","null",
"1500000US530330017023","Block Group 3, Census Tract 17.02, King County, Washington","488","null","117","null","0","null","12","null","25","null","45","null","0","null","12","null","23","null","38","null","10","null","17","null","0","12","null","null","31","null","55","null","0","12","null","null","15","null","24","null","49","null","42","null","21","null","25","null","78","null","59","null","113","null","98","null","18","null","30","null","19","null","30","null","86","71","null","null",
"1500000US530330017024","Block Group 4, Census Tract 17.02, King County, Washington","261","null","93","null","11","null","18","null","0","null","12","null","0","null","12","null","11","null","17","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","13","null","24","null","14","null","24","null","42","null","40","null","24","null","39","null","86","null","79","null","19","null","30","null","0","null","12","null","41","47","null","null",
"1500000US530330018001","Block Group 1, Census Tract 18, King County, Washington","614","null","108","null","23","null","32","null","0","null","12","null","0","null","12","null","0","null","12","null","26","null","43","null","0","12","null","null","23","null","36","null","0","12","null","null","0","null","12","null","13","null","18","null","44","null","40","null","84","null","66","null","112","null","74","null","28","null","43","null","143","null","76","null","118","73","null","null",
"1500000US530330018002","Block Group 2, Census Tract 18, King County, Washington","744","null","137","null","0","null","12","null","48","null","42","null","90","null","85","null","0","null","12","null","31","null","37","null","14","22","null","null","0","null","12","null","18","28","null","null","0","null","12","null","64","null","61","null","79","null","76","null","90","null","67","null","64","null","53","null","125","null","73","null","46","null","37","null","75","57","null","null",
"1500000US530330018003","Block Group 3, Census Tract 18, King County, Washington","849","null","117","null","13","null","22","null","0","null","12","null","15","null","24","null","16","null","26","null","0","null","12","null","14","22","null","null","25","null","28","null","0","12","null","null","15","null","25","null","9","null","14","null","141","null","73","null","279","null","135","null","103","null","62","null","64","null","50","null","86","null","67","null","69","52","null","null",
"1500000US530330019001","Block Group 1, Census Tract 19, King County, Washington","1233","null","96","null","138","null","62","null","9","null","15","null","24","null","25","null","39","null","51","null","11","null","17","null","38","30","null","null","10","null","15","null","20","23","null","null","12","null","19","null","171","null","82","null","117","null","65","null","199","null","67","null","92","null","44","null","131","null","63","null","96","null","50","null","126","60","null","null",
"1500000US530330019002","Block Group 2, Census Tract 19, King County, Washington","590","null","75","null","0","null","12","null","7","null","13","null","7","null","11","null","28","null","24","null","0","null","12","null","0","12","null","null","0","null","12","null","22","24","null","null","0","null","12","null","36","null","28","null","53","null","36","null","80","null","56","null","53","null","33","null","26","null","22","null","121","null","65","null","157","62","null","null",
"1500000US530330019003","Block Group 3, Census Tract 19, King County, Washington","532","null","62","null","0","null","12","null","0","null","12","null","9","null","14","null","16","null","18","null","9","null","16","null","28","25","null","null","6","null","10","null","27","27","null","null","8","null","12","null","16","null","19","null","53","null","44","null","37","null","29","null","76","null","41","null","49","null","33","null","64","null","43","null","134","72","null","null",
"1500000US530330020001","Block Group 1, Census Tract 20, King County, Washington","728","null","70","null","21","null","22","null","32","null","28","null","11","null","17","null","10","null","17","null","43","null","32","null","0","12","null","null","11","null","16","null","11","17","null","null","11","null","17","null","29","null","16","null","30","null","27","null","38","null","31","null","125","null","59","null","75","null","38","null","116","null","52","null","165","62","null","null",
"1500000US530330020002","Block Group 2, Census Tract 20, King County, Washington","496","null","72","null","21","null","24","null","11","null","17","null","11","null","17","null","0","null","12","null","0","null","12","null","31","50","null","null","11","null","17","null","24","26","null","null","0","null","12","null","11","null","17","null","64","null","57","null","70","null","38","null","30","null","27","null","57","null","37","null","51","null","31","null","104","54","null","null",
"1500000US530330020003","Block Group 3, Census Tract 20, King County, Washington","396","null","58","null","0","null","12","null","10","null","14","null","0","null","12","null","0","null","12","null","0","null","12","null","10","15","null","null","23","null","18","null","0","12","null","null","0","null","12","null","18","null","20","null","11","null","17","null","54","null","35","null","48","null","33","null","49","null","36","null","75","null","49","null","98","41","null","null",
"1500000US530330021001","Block Group 1, Census Tract 21, King County, Washington","665","null","70","null","40","null","32","null","8","null","12","null","0","null","12","null","6","null","10","null","7","null","12","null","9","14","null","null","0","null","12","null","0","12","null","null","41","null","43","null","8","null","15","null","50","null","31","null","47","null","27","null","76","null","31","null","53","null","32","null","141","null","55","null","179","61","null","null",
"1500000US530330021002","Block Group 2, Census Tract 21, King County, Washington","433","null","64","null","9","null","15","null","24","null","26","null","40","null","49","null","0","null","12","null","10","null","15","null","0","12","null","null","0","null","12","null","13","19","null","null","14","null","17","null","30","null","27","null","8","null","12","null","85","null","43","null","29","null","25","null","50","null","42","null","69","null","48","null","52","40","null","null",
"1500000US530330021003","Block Group 3, Census Tract 21, King County, Washington","693","null","77","null","36","null","28","null","17","null","18","null","0","null","12","null","9","null","13","null","25","null","23","null","20","22","null","null","18","null","20","null","52","53","null","null","9","null","14","null","21","null","23","null","67","null","38","null","86","null","51","null","42","null","27","null","48","null","34","null","91","null","42","null","152","63","null","null",
"1500000US530330022001","Block Group 1, Census Tract 22, King County, Washington","623","null","91","null","40","null","56","null","32","null","35","null","0","null","12","null","15","null","24","null","13","null","19","null","0","12","null","null","33","null","39","null","33","37","null","null","21","null","32","null","18","null","29","null","19","null","26","null","54","null","39","null","13","null","20","null","42","null","40","null","67","null","43","null","223","110","null","null",
"1500000US530330022002","Block Group 2, Census Tract 22, King County, Washington","546","null","79","null","0","null","12","null","16","null","26","null","0","null","12","null","16","null","26","null","14","null","24","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","65","null","62","null","12","null","19","null","80","null","57","null","54","null","45","null","79","null","57","null","210","76","null","null",
"1500000US530330022003","Block Group 3, Census Tract 22, King County, Washington","649","null","86","null","0","null","12","null","20","null","32","null","29","null","33","null","16","null","27","null","16","null","26","null","0","12","null","null","17","null","27","null","30","36","null","null","16","null","25","null","14","null","22","null","18","null","28","null","91","null","57","null","48","null","34","null","115","null","80","null","28","null","33","null","191","88","null","null",
"1500000US530330022004","Block Group 4, Census Tract 22, King County, Washington","569","null","70","null","30","null","32","null","59","null","69","null","0","null","12","null","0","null","12","null","0","null","12","null","34","38","null","null","0","null","12","null","49","45","null","null","0","null","12","null","84","null","56","null","0","null","12","null","0","null","12","null","45","null","44","null","0","null","12","null","29","null","32","null","239","85","null","null",
"1500000US530330024001","Block Group 1, Census Tract 24, King County, Washington","405","null","61","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","17","null","19","null","16","17","null","null","24","null","21","null","0","12","null","null","8","null","13","null","18","null","20","null","26","null","24","null","45","null","32","null","42","null","31","null","28","null","25","null","25","null","22","null","156","65","null","null",
"1500000US530330024002","Block Group 2, Census Tract 24, King County, Washington","387","null","55","null","11","null","17","null","21","null","22","null","0","null","12","null","0","null","12","null","0","null","12","null","31","28","null","null","10","null","16","null","19","21","null","null","0","null","12","null","0","null","12","null","33","null","28","null","64","null","42","null","28","null","26","null","39","null","34","null","76","null","52","null","55","32","null","null",
