"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330319091","Block Group 1, Census Tract 319.09, King County, Washington","738","null","66","null","26","null","23","null","0","null","12","null","20","null","22","null","61","null","45","null","7","null","10","null","18","null","29","null","16","null","19","null","16","null","24","null","23","36","null","null","46","35","null","null","86","null","39","null","93","50","null","null","153","null","60","null","11","17","null","null","85","null","43","null","77","null","49","null",
"1500000US530330319092","Block Group 2, Census Tract 319.09, King County, Washington","434","null","61","null","8","null","13","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","10","null","17","null","18","null","26","null","13","null","20","null","20","23","null","null","0","12","null","null","19","null","28","null","48","34","null","null","76","null","51","null","37","30","null","null","142","null","54","null","43","null","30","null",
"1500000US530330320021","Block Group 1, Census Tract 320.02, King County, Washington","649","null","89","null","50","null","48","null","11","null","17","null","0","null","12","null","9","null","14","null","11","null","17","null","0","null","12","null","0","null","12","null","27","null","43","null","39","31","null","null","35","28","null","null","49","null","41","null","120","73","null","null","65","null","58","null","88","48","null","null","91","null","53","null","54","null","41","null",
"1500000US530330320022","Block Group 2, Census Tract 320.02, King County, Washington","580","null","84","null","22","null","23","null","30","null","27","null","0","null","12","null","11","null","17","null","13","null","20","null","11","null","16","null","71","null","66","null","0","null","12","null","48","47","null","null","29","46","null","null","76","null","56","null","12","18","null","null","66","null","44","null","94","52","null","null","63","null","36","null","34","null","27","null",
"1500000US530330320031","Block Group 1, Census Tract 320.03, King County, Washington","582","null","82","null","13","null","20","null","15","null","17","null","20","null","23","null","19","null","21","null","0","null","12","null","27","null","19","null","20","null","22","null","9","null","14","null","0","12","null","null","26","25","null","null","55","null","38","null","79","46","null","null","54","null","37","null","68","59","null","null","45","null","32","null","132","null","51","null",
"1500000US530330320032","Block Group 2, Census Tract 320.03, King County, Washington","536","null","108","null","10","null","15","null","19","null","21","null","11","null","18","null","9","null","15","null","9","null","15","null","19","null","20","null","21","null","25","null","20","null","22","null","27","30","null","null","43","66","null","null","74","null","49","null","76","62","null","null","67","null","50","null","61","39","null","null","44","null","33","null","26","null","30","null",
"1500000US530330320033","Block Group 3, Census Tract 320.03, King County, Washington","354","null","77","null","10","null","16","null","0","null","12","null","9","null","15","null","10","null","16","null","9","null","15","null","7","null","11","null","0","null","12","null","0","null","12","null","15","25","null","null","9","14","null","null","26","null","24","null","100","72","null","null","40","null","31","null","60","41","null","null","31","null","28","null","28","null","28","null",
"1500000US530330320034","Block Group 4, Census Tract 320.03, King County, Washington","470","null","105","null","11","null","18","null","0","null","12","null","10","null","15","null","13","null","20","null","0","null","12","null","69","null","66","null","11","null","17","null","9","null","14","null","27","43","null","null","71","73","null","null","67","null","54","null","55","41","null","null","54","null","52","null","17","17","null","null","19","null","22","null","37","null","29","null",
"1500000US530330320051","Block Group 1, Census Tract 320.05, King County, Washington","389","null","117","null","0","null","12","null","0","null","12","null","0","null","12","null","50","null","73","null","0","null","12","null","36","null","33","null","12","null","20","null","0","null","12","null","0","12","null","null","43","65","null","null","83","null","127","null","72","61","null","null","27","null","32","null","55","51","null","null","11","null","19","null","0","null","12","null",
"1500000US530330320052","Block Group 2, Census Tract 320.05, King County, Washington","275","null","94","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","26","40","null","null","0","12","null","null","60","null","48","null","73","69","null","null","33","null","42","null","83","52","null","null","0","null","12","null","0","null","12","null",
"1500000US530330320053","Block Group 3, Census Tract 320.05, King County, Washington","286","null","82","null","0","null","12","null","22","null","34","null","13","null","21","null","0","null","12","null","0","null","12","null","26","null","37","null","57","null","47","null","0","null","12","null","23","37","null","null","24","29","null","null","52","null","51","null","32","37","null","null","17","null","26","null","20","31","null","null","0","null","12","null","0","null","12","null",
"1500000US530330320054","Block Group 4, Census Tract 320.05, King County, Washington","456","null","83","null","0","null","12","null","0","null","12","null","0","null","12","null","19","null","30","null","0","null","12","null","25","null","39","null","0","null","12","null","0","null","12","null","12","24","null","null","43","50","null","null","25","null","29","null","95","57","null","null","114","null","60","null","60","53","null","null","27","null","33","null","36","null","44","null",
"1500000US530330320055","Block Group 5, Census Tract 320.05, King County, Washington","631","null","128","null","11","null","20","null","0","null","12","null","0","null","12","null","22","null","36","null","0","null","12","null","33","null","36","null","22","null","32","null","15","null","25","null","0","12","null","null","55","85","null","null","79","null","76","null","191","110","null","null","169","null","101","null","12","19","null","null","22","null","35","null","0","null","12","null",
"1500000US530330320056","Block Group 6, Census Tract 320.05, King County, Washington","278","null","70","null","0","null","12","null","0","null","12","null","0","null","12","null","12","null","20","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","12","19","null","null","0","12","null","null","39","null","40","null","52","50","null","null","53","null","49","null","46","35","null","null","40","null","38","null","24","null","28","null",
"1500000US530330320061","Block Group 1, Census Tract 320.06, King County, Washington","418","null","63","null","12","null","19","null","9","null","14","null","12","null","19","null","19","null","21","null","25","null","24","null","10","null","16","null","0","null","12","null","19","null","19","null","10","16","null","null","32","29","null","null","45","null","32","null","124","61","null","null","21","null","23","null","27","24","null","null","34","null","26","null","19","null","16","null",
"1500000US530330320062","Block Group 2, Census Tract 320.06, King County, Washington","875","null","84","null","22","null","23","null","0","null","12","null","0","null","12","null","6","null","10","null","56","null","33","null","27","null","26","null","53","null","36","null","28","null","26","null","44","33","null","null","150","80","null","null","51","null","31","null","133","74","null","null","163","null","58","null","79","41","null","null","42","null","30","null","21","null","22","null",
"1500000US530330320063","Block Group 3, Census Tract 320.06, King County, Washington","574","null","73","null","7","null","11","null","8","null","13","null","0","null","12","null","17","null","19","null","11","null","17","null","34","null","53","null","0","null","12","null","9","null","13","null","0","12","null","null","39","30","null","null","44","null","32","null","64","36","null","null","65","null","34","null","90","46","null","null","69","null","32","null","117","null","59","null",
"1500000US530330320071","Block Group 1, Census Tract 320.07, King County, Washington","453","null","81","null","18","null","21","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","31","null","50","null","8","null","13","null","31","null","50","null","0","12","null","null","11","17","null","null","77","null","72","null","40","33","null","null","32","null","28","null","31","28","null","null","85","null","56","null","89","null","59","null",
"1500000US530330320072","Block Group 2, Census Tract 320.07, King County, Washington","540","null","100","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","11","null","17","null","10","null","15","null","10","null","16","null","45","57","null","null","19","23","null","null","69","null","54","null","92","58","null","null","125","null","72","null","52","41","null","null","27","null","24","null","80","null","38","null",
