"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330205003","Block Group 3, Census Tract 205, King County, Washington","1290","315","null","null","897","244","null","null","0","12","null","null","137","175","null","null","213","null","166","null","0","12","null","null","0","12","null","null","43","55","null","null","11","22","null","null","32","null","48","null",
"1500000US530330205004","Block Group 4, Census Tract 205, King County, Washington","767","245","null","null","544","221","null","null","17","28","null","null","66","104","null","null","70","null","64","null","0","12","null","null","0","12","null","null","70","86","null","null","0","12","null","null","70","null","86","null",
"1500000US530330205005","Block Group 5, Census Tract 205, King County, Washington","834","246","null","null","567","322","null","null","36","62","null","null","48","72","null","null","173","null","220","null","0","12","null","null","0","12","null","null","10","24","null","null","0","12","null","null","10","null","24","null",
"1500000US530330205006","Block Group 6, Census Tract 205, King County, Washington","538","167","null","null","425","151","null","null","51","62","null","null","0","12","null","null","34","null","42","null","0","12","null","null","0","12","null","null","28","45","null","null","0","12","null","null","28","null","45","null",
"1500000US530330206001","Block Group 1, Census Tract 206, King County, Washington","883","206","null","null","565","167","null","null","0","12","null","null","12","18","null","null","229","null","172","null","21","39","null","null","28","46","null","null","28","29","null","null","0","12","null","null","28","null","29","null",
"1500000US530330206002","Block Group 2, Census Tract 206, King County, Washington","950","203","null","null","657","182","null","null","104","79","null","null","3","6","null","null","96","null","82","null","0","12","null","null","45","58","null","null","45","48","null","null","0","12","null","null","45","null","48","null",
"1500000US530330206003","Block Group 3, Census Tract 206, King County, Washington","901","193","null","null","407","132","null","null","115","122","null","null","0","12","null","null","278","null","118","null","10","15","null","null","24","38","null","null","67","93","null","null","65","93","null","null","2","null","6","null",
"1500000US530330206004","Block Group 4, Census Tract 206, King County, Washington","836","170","null","null","466","123","null","null","0","12","null","null","0","12","null","null","309","null","147","null","0","12","null","null","12","19","null","null","49","51","null","null","0","12","null","null","49","null","51","null",
"1500000US530330207001","Block Group 1, Census Tract 207, King County, Washington","1139","352","null","null","871","334","null","null","28","44","null","null","0","12","null","null","215","null","111","null","0","12","null","null","16","23","null","null","9","16","null","null","0","12","null","null","9","null","16","null",
"1500000US530330207002","Block Group 2, Census Tract 207, King County, Washington","1490","304","null","null","855","251","null","null","49","51","null","null","0","12","null","null","251","null","177","null","0","12","null","null","224","226","null","null","111","79","null","null","0","12","null","null","111","null","79","null",
"1500000US530330207003","Block Group 3, Census Tract 207, King County, Washington","1080","252","null","null","785","204","null","null","98","147","null","null","0","12","null","null","152","null","110","null","0","12","null","null","0","12","null","null","45","41","null","null","13","19","null","null","32","null","38","null",
