"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","1121","null","279","null","761","192","null","null","0","null","12","null","0","null","12","null","166","176","null","null","20","33","null","null","0","null","12","null","174","null","152","null","0","null","12","null","174","null","152","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","835","null","250","null","639","233","null","null","17","null","26","null","0","null","12","null","117","119","null","null","0","12","null","null","0","null","12","null","62","null","98","null","0","null","12","null","62","null","98","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1215","null","311","null","1004","323","null","null","102","null","157","null","14","null","23","null","26","35","null","null","0","12","null","null","21","null","33","null","48","null","47","null","0","null","12","null","48","null","47","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","2248","null","607","null","1921","473","null","null","76","null","86","null","0","null","12","null","140","101","null","null","0","12","null","null","88","null","92","null","23","null","37","null","0","null","12","null","23","null","37","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","1311","null","181","null","1168","181","null","null","22","null","24","null","0","null","12","null","76","69","null","null","0","12","null","null","0","null","12","null","45","null","63","null","0","null","12","null","45","null","63","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","791","null","153","null","744","144","null","null","0","null","12","null","0","null","12","null","31","37","null","null","0","12","null","null","0","null","12","null","16","null","29","null","0","null","12","null","16","null","29","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","1041","null","167","null","784","175","null","null","0","null","12","null","0","null","12","null","185","140","null","null","0","12","null","null","0","null","12","null","72","null","59","null","0","null","12","null","72","null","59","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","1180","null","278","null","702","270","null","null","69","null","115","null","80","null","82","null","282","212","null","null","0","12","null","null","0","null","12","null","47","null","60","null","0","null","12","null","47","null","60","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","1378","null","472","null","1050","389","null","null","69","null","94","null","0","null","12","null","124","160","null","null","0","12","null","null","0","null","12","null","135","null","103","null","39","null","50","null","96","null","102","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","1567","null","549","null","697","292","null","null","218","null","255","null","11","null","19","null","194","146","null","null","0","12","null","null","351","null","302","null","96","null","103","null","13","null","26","null","83","null","99","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","1665","null","421","null","1181","385","null","null","105","null","114","null","0","null","12","null","170","97","null","null","0","12","null","null","97","null","166","null","112","null","89","null","0","null","12","null","112","null","89","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","1160","null","346","null","562","202","null","null","165","null","205","null","0","null","12","null","138","101","null","null","0","12","null","null","253","null","133","null","42","null","66","null","0","null","12","null","42","null","66","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","1174","null","313","null","842","281","null","null","130","null","175","null","0","null","12","null","94","82","null","null","0","12","null","null","44","null","70","null","64","null","107","null","0","null","12","null","64","null","107","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","1802","null","386","null","1103","322","null","null","224","null","249","null","0","null","12","null","423","188","null","null","0","12","null","null","16","null","27","null","36","null","42","null","0","null","12","null","36","null","42","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1405","null","344","null","741","253","null","null","385","null","275","null","3","null","7","null","130","71","null","null","0","12","null","null","99","null","91","null","47","null","42","null","0","null","12","null","47","null","42","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","1365","null","456","null","1007","380","null","null","22","null","35","null","12","null","20","null","290","205","null","null","0","12","null","null","34","null","52","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","645","null","193","null","427","138","null","null","34","null","37","null","30","null","51","null","21","32","null","null","17","28","null","null","17","null","24","null","99","null","80","null","49","null","71","null","50","null","58","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","1248","null","175","null","1028","176","null","null","63","null","58","null","0","null","12","null","137","85","null","null","0","12","null","null","0","null","12","null","20","null","28","null","0","null","12","null","20","null","28","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","1462","null","167","null","1180","167","null","null","26","null","28","null","0","null","12","null","93","49","null","null","10","20","null","null","0","null","12","null","153","null","102","null","0","null","12","null","153","null","102","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","1034","null","107","null","818","122","null","null","7","null","9","null","0","null","12","null","140","66","null","null","35","42","null","null","0","null","12","null","34","null","25","null","0","null","12","null","34","null","25","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","975","null","133","null","848","124","null","null","15","null","22","null","5","null","8","null","62","56","null","null","0","12","null","null","4","null","7","null","41","null","29","null","0","null","12","null","41","null","29","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","1033","null","164","null","657","125","null","null","220","null","166","null","0","null","12","null","130","79","null","null","0","12","null","null","0","null","12","null","26","null","20","null","7","null","11","null","19","null","17","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","1022","null","143","null","692","121","null","null","40","null","30","null","0","null","12","null","148","61","null","null","0","12","null","null","6","null","9","null","136","null","72","null","0","null","12","null","136","null","72","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","1434","null","319","null","788","172","null","null","5","null","9","null","0","null","12","null","531","301","null","null","0","12","null","null","52","null","81","null","58","null","52","null","0","null","12","null","58","null","52","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","1318","null","201","null","1024","197","null","null","0","null","12","null","6","null","9","null","177","116","null","null","0","12","null","null","18","null","29","null","93","null","62","null","0","null","12","null","93","null","62","null",
"1500000US530330012001","Block Group 1, Census Tract 12, King County, Washington","1218","null","283","null","797","194","null","null","18","null","31","null","0","null","12","null","157","132","null","null","0","12","null","null","35","null","56","null","211","null","140","null","0","null","12","null","211","null","140","null",
"1500000US530330012002","Block Group 2, Census Tract 12, King County, Washington","669","null","231","null","445","166","null","null","140","null","162","null","14","null","21","null","10","15","null","null","0","12","null","null","10","null","16","null","50","null","60","null","17","null","29","null","33","null","51","null",
"1500000US530330012003","Block Group 3, Census Tract 12, King County, Washington","2201","null","360","null","1414","403","null","null","351","null","339","null","14","null","23","null","406","235","null","null","0","12","null","null","0","null","12","null","16","null","27","null","0","null","12","null","16","null","27","null",
"1500000US530330012004","Block Group 4, Census Tract 12, King County, Washington","1716","null","371","null","1173","360","null","null","135","null","173","null","0","null","12","null","345","211","null","null","0","12","null","null","0","null","12","null","63","null","62","null","0","null","12","null","63","null","62","null",
"1500000US530330012005","Block Group 5, Census Tract 12, King County, Washington","1320","null","278","null","847","282","null","null","71","null","89","null","0","null","12","null","178","123","null","null","0","12","null","null","56","null","82","null","168","null","112","null","0","null","12","null","168","null","112","null",
"1500000US530330013001","Block Group 1, Census Tract 13, King County, Washington","1653","null","300","null","929","238","null","null","61","null","120","null","0","null","12","null","535","215","null","null","0","12","null","null","15","null","27","null","113","null","79","null","0","null","12","null","113","null","79","null",
"1500000US530330013002","Block Group 2, Census Tract 13, King County, Washington","1368","null","340","null","810","303","null","null","70","null","74","null","13","null","23","null","240","116","null","null","0","12","null","null","185","null","125","null","50","null","56","null","0","null","12","null","50","null","56","null",
"1500000US530330013003","Block Group 3, Census Tract 13, King County, Washington","1681","null","295","null","1126","231","null","null","70","null","66","null","0","null","12","null","250","142","null","null","0","12","null","null","115","null","187","null","120","null","87","null","0","null","12","null","120","null","87","null",
"1500000US530330014001","Block Group 1, Census Tract 14, King County, Washington","1109","null","350","null","758","234","null","null","12","null","19","null","0","null","12","null","106","96","null","null","0","12","null","null","11","null","19","null","222","null","277","null","0","null","12","null","222","null","277","null",
"1500000US530330014002","Block Group 2, Census Tract 14, King County, Washington","1639","null","472","null","1294","439","null","null","0","null","12","null","6","null","29","null","161","111","null","null","0","12","null","null","50","null","64","null","128","null","125","null","0","null","12","null","128","null","125","null",
"1500000US530330014003","Block Group 3, Census Tract 14, King County, Washington","1532","null","426","null","1192","331","null","null","41","null","48","null","28","null","42","null","76","112","null","null","0","12","null","null","32","null","64","null","163","null","157","null","0","null","12","null","163","null","157","null",
"1500000US530330014004","Block Group 4, Census Tract 14, King County, Washington","1394","null","237","null","1231","206","null","null","0","null","12","null","24","null","36","null","46","37","null","null","0","12","null","null","16","null","25","null","77","null","70","null","0","null","12","null","77","null","70","null",
"1500000US530330015001","Block Group 1, Census Tract 15, King County, Washington","1519","null","223","null","1399","239","null","null","42","null","66","null","0","null","12","null","39","38","null","null","0","12","null","null","0","null","12","null","39","null","45","null","16","null","27","null","23","null","38","null",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","1233","null","177","null","1015","187","null","null","12","null","17","null","6","null","10","null","118","47","null","null","0","12","null","null","0","null","12","null","82","null","59","null","0","null","12","null","82","null","59","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","1926","null","269","null","1733","268","null","null","0","null","12","null","0","null","12","null","35","32","null","null","0","12","null","null","10","null","15","null","148","null","103","null","7","null","12","null","141","null","100","null",
