"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","1325","329","null","null","988","291","null","null","0","12","null","null","0","12","null","null","144","null","159","null","22","23","null","null","0","12","null","null","171","null","141","null","0","12","null","null","171","null","141","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","876","209","null","null","723","214","null","null","11","19","null","null","0","12","null","null","101","null","76","null","0","12","null","null","0","12","null","null","41","null","69","null","0","12","null","null","41","null","69","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1110","269","null","null","892","230","null","null","91","141","null","null","15","26","null","null","51","null","49","null","23","36","null","null","0","12","null","null","38","null","43","null","0","12","null","null","38","null","43","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","1989","520","null","null","1702","415","null","null","77","78","null","null","0","12","null","null","112","null","92","null","0","12","null","null","78","78","null","null","20","null","32","null","0","12","null","null","20","null","32","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","1177","185","null","null","1035","162","null","null","22","25","null","null","0","12","null","null","73","null","69","null","0","12","null","null","0","12","null","null","47","null","69","null","0","12","null","null","47","null","69","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","784","162","null","null","681","160","null","null","18","27","null","null","0","12","null","null","52","null","45","null","0","12","null","null","0","12","null","null","33","null","31","null","0","12","null","null","33","null","31","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","1091","174","null","null","834","169","null","null","0","12","null","null","0","12","null","null","186","null","147","null","0","12","null","null","0","12","null","null","71","null","59","null","0","12","null","null","71","null","59","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","1243","306","null","null","802","307","null","null","84","135","null","null","56","66","null","null","271","null","164","null","0","12","null","null","0","12","null","null","30","null","47","null","0","12","null","null","30","null","47","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","1329","409","null","null","1044","352","null","null","20","31","null","null","0","12","null","null","139","null","190","null","0","12","null","null","0","12","null","null","126","null","95","null","41","51","null","null","85","null","91","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","1664","538","null","null","860","336","null","null","202","225","null","null","10","17","null","null","182","null","147","null","0","12","null","null","323","308","null","null","87","null","101","null","13","26","null","null","74","null","96","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","1755","368","null","null","1239","326","null","null","198","183","null","null","0","12","null","null","200","null","116","null","0","12","null","null","0","12","null","null","118","null","88","null","0","12","null","null","118","null","88","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","1015","354","null","null","489","191","null","null","179","228","null","null","0","12","null","null","110","null","94","null","0","12","null","null","237","120","null","null","0","null","12","null","0","12","null","null","0","null","12","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","1055","264","null","null","777","217","null","null","142","175","null","null","0","12","null","null","25","null","30","null","0","12","null","null","48","75","null","null","63","null","101","null","0","12","null","null","63","null","101","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","1885","371","null","null","990","294","null","null","246","165","null","null","0","12","null","null","479","null","230","null","108","163","null","null","39","44","null","null","23","null","36","null","0","12","null","null","23","null","36","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1247","324","null","null","659","213","null","null","332","236","null","null","2","6","null","null","123","null","96","null","0","12","null","null","69","67","null","null","62","null","53","null","0","12","null","null","62","null","53","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","1135","335","null","null","835","313","null","null","22","34","null","null","14","23","null","null","221","null","211","null","0","12","null","null","43","68","null","null","0","null","12","null","0","12","null","null","0","null","12","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","587","178","null","null","405","129","null","null","37","42","null","null","0","12","null","null","26","null","38","null","4","16","null","null","30","36","null","null","85","null","73","null","55","79","null","null","30","null","48","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","1174","188","null","null","958","186","null","null","56","69","null","null","0","12","null","null","142","null","93","null","0","12","null","null","0","12","null","null","18","null","22","null","0","12","null","null","18","null","22","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","1408","219","null","null","1151","202","null","null","24","29","null","null","0","12","null","null","87","null","55","null","0","12","null","null","0","12","null","null","146","null","96","null","0","12","null","null","146","null","96","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","1095","129","null","null","845","117","null","null","9","13","null","null","24","35","null","null","165","null","65","null","33","40","null","null","4","6","null","null","15","null","16","null","0","12","null","null","15","null","16","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","877","121","null","null","757","111","null","null","13","18","null","null","6","9","null","null","51","null","34","null","0","12","null","null","7","10","null","null","43","null","32","null","0","12","null","null","43","null","32","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","991","174","null","null","612","119","null","null","244","179","null","null","0","12","null","null","111","null","83","null","0","12","null","null","0","12","null","null","24","null","19","null","9","12","null","null","15","null","15","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","991","139","null","null","741","127","null","null","25","27","null","null","0","12","null","null","126","null","54","null","0","12","null","null","6","9","null","null","93","null","53","null","0","12","null","null","93","null","53","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","1330","195","null","null","890","146","null","null","8","13","null","null","0","12","null","null","304","null","168","null","0","12","null","null","51","78","null","null","77","null","61","null","0","12","null","null","77","null","61","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","1461","230","null","null","1218","198","null","null","0","12","null","null","0","12","null","null","124","null","80","null","0","12","null","null","48","53","null","null","71","null","45","null","0","12","null","null","71","null","45","null",
"1500000US530330012001","Block Group 1, Census Tract 12, King County, Washington","1218","288","null","null","759","171","null","null","17","28","null","null","0","12","null","null","179","null","174","null","0","12","null","null","42","66","null","null","221","null","159","null","0","12","null","null","221","null","159","null",
"1500000US530330012002","Block Group 2, Census Tract 12, King County, Washington","770","255","null","null","396","176","null","null","138","155","null","null","44","71","null","null","94","null","105","null","0","12","null","null","71","96","null","null","27","null","45","null","27","45","null","null","0","null","12","null",
"1500000US530330012003","Block Group 3, Census Tract 12, King County, Washington","1843","373","null","null","1273","324","null","null","169","227","null","null","0","12","null","null","375","null","211","null","0","12","null","null","0","12","null","null","26","null","30","null","0","12","null","null","26","null","30","null",
"1500000US530330012004","Block Group 4, Census Tract 12, King County, Washington","1778","426","null","null","1137","430","null","null","0","12","null","null","0","12","null","null","425","null","252","null","0","12","null","null","153","230","null","null","63","null","66","null","0","12","null","null","63","null","66","null",
"1500000US530330012005","Block Group 5, Census Tract 12, King County, Washington","1415","270","null","null","868","286","null","null","109","105","null","null","0","12","null","null","181","null","137","null","0","12","null","null","47","56","null","null","210","null","112","null","0","12","null","null","210","null","112","null",
"1500000US530330013001","Block Group 1, Census Tract 13, King County, Washington","1729","277","null","null","967","198","null","null","60","103","null","null","0","12","null","null","526","null","216","null","0","12","null","null","20","30","null","null","156","null","101","null","0","12","null","null","156","null","101","null",
"1500000US530330013002","Block Group 2, Census Tract 13, King County, Washington","1338","294","null","null","797","258","null","null","71","64","null","null","0","12","null","null","297","null","174","null","0","12","null","null","160","106","null","null","13","null","23","null","0","12","null","null","13","null","23","null",
"1500000US530330013003","Block Group 3, Census Tract 13, King County, Washington","1401","283","null","null","1022","219","null","null","42","50","null","null","0","12","null","null","216","null","150","null","0","12","null","null","0","12","null","null","121","null","74","null","0","12","null","null","121","null","74","null",
"1500000US530330014001","Block Group 1, Census Tract 14, King County, Washington","1168","363","null","null","781","189","null","null","0","12","null","null","0","12","null","null","84","null","80","null","0","12","null","null","0","12","null","null","303","null","344","null","0","12","null","null","303","null","344","null",
"1500000US530330014002","Block Group 2, Census Tract 14, King County, Washington","1422","432","null","null","1052","383","null","null","0","12","null","null","22","36","null","null","206","null","142","null","0","12","null","null","36","44","null","null","106","null","109","null","0","12","null","null","106","null","109","null",
"1500000US530330014003","Block Group 3, Census Tract 14, King County, Washington","1305","289","null","null","895","230","null","null","40","46","null","null","0","12","null","null","186","null","202","null","0","12","null","null","60","95","null","null","124","null","106","null","0","12","null","null","124","null","106","null",
"1500000US530330014004","Block Group 4, Census Tract 14, King County, Washington","1655","207","null","null","1503","217","null","null","0","12","null","null","17","26","null","null","60","null","55","null","0","12","null","null","14","22","null","null","61","null","55","null","0","12","null","null","61","null","55","null",
"1500000US530330015001","Block Group 1, Census Tract 15, King County, Washington","1238","205","null","null","1163","206","null","null","0","12","null","null","0","12","null","null","36","null","34","null","0","12","null","null","0","12","null","null","39","null","48","null","0","12","null","null","39","null","48","null",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","1310","159","null","null","1147","146","null","null","0","12","null","null","7","10","null","null","116","null","50","null","0","12","null","null","0","12","null","null","40","null","35","null","0","12","null","null","40","null","35","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","1808","257","null","null","1636","252","null","null","0","12","null","null","0","12","null","null","28","null","26","null","0","12","null","null","9","14","null","null","135","null","87","null","0","12","null","null","135","null","87","null",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","1359","177","null","null","1163","175","null","null","7","10","null","null","0","12","null","null","159","null","106","null","0","12","null","null","3","8","null","null","27","null","26","null","0","12","null","null","27","null","26","null",
"1500000US530330016003","Block Group 3, Census Tract 16, King County, Washington","1436","251","null","null","1107","219","null","null","35","33","null","null","12","13","null","null","108","null","97","null","0","12","null","null","0","12","null","null","174","null","166","null","0","12","null","null","174","null","166","null",
"1500000US530330017011","Block Group 1, Census Tract 17.01, King County, Washington","1662","286","null","null","1193","273","null","null","104","82","null","null","16","22","null","null","166","null","76","null","1","2","null","null","20","32","null","null","162","null","105","null","0","12","null","null","162","null","105","null",
"1500000US530330017012","Block Group 2, Census Tract 17.01, King County, Washington","1140","277","null","null","836","189","null","null","104","115","null","null","37","44","null","null","87","null","61","null","18","27","null","null","0","12","null","null","58","null","65","null","11","17","null","null","47","null","62","null",
"1500000US530330017013","Block Group 3, Census Tract 17.01, King County, Washington","1202","274","null","null","867","223","null","null","56","47","null","null","0","12","null","null","133","null","94","null","0","12","null","null","46","58","null","null","100","null","72","null","20","24","null","null","80","null","66","null",
"1500000US530330017021","Block Group 1, Census Tract 17.02, King County, Washington","2107","355","null","null","1717","364","null","null","0","12","null","null","0","12","null","null","156","null","104","null","0","12","null","null","63","74","null","null","171","null","102","null","0","12","null","null","171","null","102","null",
"1500000US530330017022","Block Group 2, Census Tract 17.02, King County, Washington","986","208","null","null","691","206","null","null","15","24","null","null","34","52","null","null","128","null","98","null","0","12","null","null","0","12","null","null","118","null","57","null","0","12","null","null","118","null","57","null",
"1500000US530330017023","Block Group 3, Census Tract 17.02, King County, Washington","1132","255","null","null","966","270","null","null","28","38","null","null","0","12","null","null","60","null","48","null","0","12","null","null","23","35","null","null","55","null","75","null","0","12","null","null","55","null","75","null",
"1500000US530330017024","Block Group 4, Census Tract 17.02, King County, Washington","607","183","null","null","453","189","null","null","30","39","null","null","0","12","null","null","124","null","86","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null",
"1500000US530330018001","Block Group 1, Census Tract 18, King County, Washington","1797","589","null","null","1208","318","null","null","2","6","null","null","66","86","null","null","209","null","169","null","0","12","null","null","147","186","null","null","165","null","100","null","67","87","null","null","98","null","78","null",
"1500000US530330018002","Block Group 2, Census Tract 18, King County, Washington","1588","370","null","null","1094","314","null","null","0","12","null","null","0","12","null","null","236","null","172","null","13","21","null","null","9","14","null","null","236","null","171","null","0","12","null","null","236","null","171","null",
"1500000US530330018003","Block Group 3, Census Tract 18, King County, Washington","1995","411","null","null","1459","449","null","null","32","52","null","null","0","12","null","null","314","null","188","null","0","12","null","null","28","35","null","null","162","null","151","null","0","12","null","null","162","null","151","null",
"1500000US530330019001","Block Group 1, Census Tract 19, King County, Washington","2181","292","null","null","1423","259","null","null","51","49","null","null","0","12","null","null","545","null","172","null","0","12","null","null","9","14","null","null","153","null","90","null","29","26","null","null","124","null","89","null",
"1500000US530330019002","Block Group 2, Census Tract 19, King County, Washington","1456","224","null","null","1223","218","null","null","50","39","null","null","0","12","null","null","132","null","79","null","13","30","null","null","9","15","null","null","29","null","33","null","0","12","null","null","29","null","33","null",
"1500000US530330019003","Block Group 3, Census Tract 19, King County, Washington","1140","187","null","null","961","176","null","null","11","17","null","null","8","12","null","null","106","null","77","null","0","12","null","null","0","12","null","null","54","null","37","null","0","12","null","null","54","null","37","null",
"1500000US530330020001","Block Group 1, Census Tract 20, King County, Washington","1853","243","null","null","1529","238","null","null","0","12","null","null","0","12","null","null","174","null","76","null","0","12","null","null","40","37","null","null","110","null","79","null","0","12","null","null","110","null","79","null",
"1500000US530330020002","Block Group 2, Census Tract 20, King County, Washington","1014","187","null","null","881","170","null","null","0","12","null","null","3","6","null","null","81","null","52","null","0","12","null","null","0","12","null","null","49","null","47","null","0","12","null","null","49","null","47","null",
"1500000US530330020003","Block Group 3, Census Tract 20, King County, Washington","947","156","null","null","798","144","null","null","4","7","null","null","0","12","null","null","85","null","67","null","0","12","null","null","22","27","null","null","38","null","37","null","0","12","null","null","38","null","37","null",
"1500000US530330021001","Block Group 1, Census Tract 21, King County, Washington","1677","226","null","null","1345","202","null","null","15","23","null","null","0","12","null","null","271","null","113","null","0","12","null","null","30","36","null","null","16","null","26","null","0","12","null","null","16","null","26","null",
"1500000US530330021002","Block Group 2, Census Tract 21, King County, Washington","1136","235","null","null","1010","223","null","null","0","12","null","null","6","11","null","null","66","null","60","null","0","12","null","null","25","30","null","null","29","null","50","null","0","12","null","null","29","null","50","null",
