"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","1238","null","319","null","1000","304","null","null","0","12","null","null","5","8","null","null","60","48","null","null","18","null","24","null","0","null","12","null","155","129","null","null","0","12","null","null","155","129","null","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","780","null","210","null","697","215","null","null","8","15","null","null","0","12","null","null","42","57","null","null","0","null","12","null","0","null","12","null","33","56","null","null","0","12","null","null","33","56","null","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1192","null","301","null","896","221","null","null","203","228","null","null","19","32","null","null","16","29","null","null","24","null","37","null","0","null","12","null","34","41","null","null","0","12","null","null","34","41","null","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","1955","null","480","null","1575","367","null","null","73","75","null","null","0","12","null","null","206","148","null","null","0","null","12","null","57","null","62","null","44","37","null","null","0","12","null","null","44","37","null","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","1275","null","206","null","1130","175","null","null","21","23","null","null","0","12","null","null","71","55","null","null","0","null","12","null","0","null","12","null","53","68","null","null","0","12","null","null","53","68","null","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","834","null","141","null","700","145","null","null","20","30","null","null","0","12","null","null","58","47","null","null","0","null","12","null","0","null","12","null","56","46","null","null","0","12","null","null","56","46","null","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","1045","null","164","null","888","170","null","null","0","12","null","null","0","12","null","null","84","65","null","null","0","null","12","null","0","null","12","null","73","54","null","null","0","12","null","null","73","54","null","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","1070","null","244","null","836","288","null","null","0","12","null","null","43","46","null","null","167","133","null","null","0","null","12","null","0","null","12","null","24","39","null","null","0","12","null","null","24","39","null","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","1137","null","355","null","824","302","null","null","22","37","null","null","15","26","null","null","170","219","null","null","0","null","12","null","0","null","12","null","106","95","null","null","27","41","null","null","79","86","null","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","1636","null","531","null","799","300","null","null","171","221","null","null","9","14","null","null","155","147","null","null","0","null","12","null","339","null","301","null","163","150","null","null","16","30","null","null","147","147","null","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","1803","null","332","null","1296","268","null","null","181","162","null","null","0","12","null","null","204","112","null","null","0","null","12","null","0","null","12","null","122","89","null","null","0","12","null","null","122","89","null","null",
